epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.6597,4.02735,4.14297,4.19053,0.00071,0.01977,0.00048,0.00018,4.34196,3.95735,4.14966,0.0026,0.0026,0.0026
2,36.0858,3.51501,3.61809,3.71947,0.00067,0.01918,0.00036,0.00012,4.39031,3.95104,4.23807,0.0052965,0.0052965,0.0052965
3,51.6728,3.08659,3.04493,3.12404,0.00117,0.01903,0.00061,0.00022,4.44367,4.09654,4.33578,0.00798944,0.00798944,0.00798944
4,66.2597,2.73387,2.57339,2.68407,0.57055,0.04902,0.06462,0.02035,3.11733,3.3596,3.09181,0.0099802,0.0099802,0.0099802
5,81.9887,2.48604,2.28561,2.41791,0.28716,0.23019,0.1907,0.06975,2.63689,2.58537,2.63648,0.0099736,0.0099736,0.0099736
6,98.252,2.28076,2.03199,2.21706,0.59276,0.20475,0.16104,0.06139,2.76215,4.97954,2.6733,0.009967,0.009967,0.009967
7,112.951,2.16864,1.87736,2.07659,0.25651,0.38057,0.18415,0.06778,2.42021,4.58141,2.42085,0.0099604,0.0099604,0.0099604
8,129.411,2.01468,1.74707,1.94644,0.47635,0.37176,0.37376,0.14808,2.23359,2.09172,2.23492,0.0099538,0.0099538,0.0099538
9,145.717,1.90215,1.64602,1.91083,0.48593,0.39698,0.38005,0.15313,2.14869,2.12531,2.15341,0.0099472,0.0099472,0.0099472
10,160.873,1.85726,1.60102,1.85766,0.47699,0.43081,0.40032,0.16253,2.1542,2.52143,2.15268,0.0099406,0.0099406,0.0099406
11,178.773,1.81407,1.51368,1.79767,0.57123,0.42903,0.44417,0.18281,2.16127,2.16931,2.12916,0.009934,0.009934,0.009934
12,194.341,1.7463,1.47324,1.78431,0.60776,0.48402,0.50915,0.21313,2.05861,2.20229,2.07173,0.0099274,0.0099274,0.0099274
13,209.656,1.71462,1.44645,1.7362,0.60841,0.50753,0.54887,0.24089,1.9761,1.76597,1.97305,0.0099208,0.0099208,0.0099208
14,225.941,1.70356,1.40493,1.72397,0.60848,0.48912,0.51945,0.22955,1.98439,1.85912,1.9885,0.0099142,0.0099142,0.0099142
15,241.541,1.63015,1.32382,1.63542,0.59305,0.46719,0.52246,0.21665,2.06913,2.49093,2.04574,0.0099076,0.0099076,0.0099076
16,255.848,1.64328,1.33392,1.66384,0.64119,0.53114,0.55798,0.24786,1.92434,1.68794,1.91163,0.009901,0.009901,0.009901
17,272.976,1.60132,1.28239,1.62893,0.67921,0.53438,0.58367,0.26601,1.90411,1.77701,1.91045,0.0098944,0.0098944,0.0098944
18,288.404,1.55162,1.23733,1.58726,0.64115,0.53309,0.58467,0.26618,1.89356,1.52524,1.88505,0.0098878,0.0098878,0.0098878
19,303.59,1.58254,1.23931,1.5831,0.69504,0.56067,0.62231,0.2862,1.83247,1.92543,1.8377,0.0098812,0.0098812,0.0098812
20,319.76,1.60011,1.25868,1.6189,0.72327,0.55543,0.63762,0.29147,1.86088,1.45851,1.85356,0.0098746,0.0098746,0.0098746
21,334.876,1.54934,1.20205,1.57581,0.72393,0.56336,0.63602,0.29667,1.83414,1.44547,1.83799,0.009868,0.009868,0.009868
22,350.398,1.5385,1.21353,1.57073,0.69044,0.56783,0.62386,0.28424,1.86723,1.50776,1.84191,0.0098614,0.0098614,0.0098614
23,366.862,1.52035,1.21573,1.57483,0.6968,0.53637,0.58732,0.26027,1.9324,1.53701,1.90627,0.0098548,0.0098548,0.0098548
24,383.772,1.52186,1.15519,1.52925,0.74409,0.5683,0.63422,0.30551,1.82664,1.4537,1.83584,0.0098482,0.0098482,0.0098482
25,397.913,1.48249,1.12518,1.51846,0.70386,0.56726,0.63842,0.29896,1.80558,1.47821,1.80091,0.0098416,0.0098416,0.0098416
26,413.274,1.45858,1.10778,1.51379,0.73161,0.58247,0.65955,0.31138,1.78733,1.35821,1.77314,0.009835,0.009835,0.009835
27,428.201,1.49687,1.13694,1.50433,0.74563,0.59834,0.66802,0.31669,1.78425,1.49127,1.78389,0.0098284,0.0098284,0.0098284
28,444.95,1.4666,1.10853,1.51743,0.76514,0.59929,0.68565,0.31827,1.79767,1.37839,1.76082,0.0098218,0.0098218,0.0098218
29,460.585,1.44119,1.07645,1.46294,0.7363,0.60592,0.68322,0.32985,1.75781,1.36175,1.74102,0.0098152,0.0098152,0.0098152
30,476.58,1.46323,1.09831,1.48938,0.73997,0.59603,0.66686,0.32412,1.77048,1.46547,1.74758,0.0098086,0.0098086,0.0098086
31,492.853,1.41317,1.04395,1.43784,0.76259,0.60522,0.69914,0.34829,1.7063,1.35772,1.7005,0.009802,0.009802,0.009802
32,509.36,1.41124,1.05911,1.45667,0.74118,0.61464,0.68111,0.33352,1.74441,1.33564,1.7214,0.0097954,0.0097954,0.0097954
33,523.489,1.40149,1.048,1.44583,0.74493,0.60934,0.68683,0.34383,1.68884,1.35496,1.71017,0.0097888,0.0097888,0.0097888
34,538.535,1.40007,1.04051,1.4335,0.76369,0.62453,0.69779,0.35177,1.68575,1.33176,1.70774,0.0097822,0.0097822,0.0097822
35,554.512,1.40681,1.03851,1.4391,0.77788,0.63844,0.71477,0.36847,1.67737,1.26655,1.69124,0.0097756,0.0097756,0.0097756
36,570.186,1.37293,1.01604,1.44538,0.74692,0.598,0.69057,0.32538,1.80276,1.37053,1.72582,0.009769,0.009769,0.009769
37,586.465,1.38581,1.02174,1.43758,0.73801,0.58595,0.67573,0.32663,1.76309,1.37096,1.7291,0.0097624,0.0097624,0.0097624
38,601.158,1.38773,1.00691,1.4237,0.79065,0.62265,0.71515,0.37214,1.68261,1.2718,1.69047,0.0097558,0.0097558,0.0097558
39,616.332,1.3666,0.99648,1.42535,0.7929,0.63385,0.72283,0.37753,1.65177,1.21419,1.66429,0.0097492,0.0097492,0.0097492
40,633.611,1.34849,0.98711,1.41467,0.79387,0.63095,0.71763,0.37053,1.65963,1.26634,1.66811,0.0097426,0.0097426,0.0097426
41,649.545,1.37161,0.99489,1.41879,0.79233,0.65925,0.73578,0.3849,1.62326,1.19958,1.65133,0.009736,0.009736,0.009736
42,663.657,1.35158,0.97024,1.3945,0.78181,0.63911,0.73442,0.38303,1.63455,1.23159,1.65328,0.0097294,0.0097294,0.0097294
43,678.614,1.36607,0.98257,1.41229,0.79255,0.63461,0.7249,0.39224,1.59947,1.22751,1.63219,0.0097228,0.0097228,0.0097228
44,693.719,1.33825,0.96374,1.39449,0.79559,0.6624,0.74277,0.40475,1.58637,1.18703,1.6218,0.0097162,0.0097162,0.0097162
45,709.739,1.34193,0.95983,1.38715,0.76564,0.63804,0.71953,0.38276,1.61539,1.22286,1.64598,0.0097096,0.0097096,0.0097096
46,725.674,1.32944,0.95696,1.38787,0.78628,0.64637,0.73016,0.378,1.63633,1.21675,1.6307,0.009703,0.009703,0.009703
47,741.337,1.31226,0.93015,1.36841,0.79693,0.64664,0.73771,0.39636,1.559,1.18521,1.60565,0.0096964,0.0096964,0.0096964
48,757.33,1.30103,0.93428,1.36574,0.78215,0.64287,0.72901,0.37539,1.68315,1.16606,1.67511,0.0096898,0.0096898,0.0096898
49,772.928,1.34036,0.9635,1.3838,0.78551,0.65777,0.74224,0.39893,1.57602,1.17371,1.59569,0.0096832,0.0096832,0.0096832
50,787.365,1.31119,0.94924,1.37453,0.80388,0.65644,0.75082,0.40682,1.5798,1.20324,1.60966,0.0096766,0.0096766,0.0096766
51,803.348,1.31484,0.93561,1.36153,0.81271,0.65672,0.74432,0.39742,1.58388,1.15026,1.61162,0.00967,0.00967,0.00967
52,819.483,1.34931,0.9609,1.40591,0.80115,0.62672,0.71858,0.39047,1.58547,1.2086,1.60105,0.0096634,0.0096634,0.0096634
53,835.894,1.31278,0.93435,1.37089,0.77689,0.64632,0.73175,0.38306,1.64449,1.22833,1.63308,0.0096568,0.0096568,0.0096568
54,851.28,1.31814,0.9352,1.37684,0.81723,0.66753,0.7517,0.40886,1.57318,1.14055,1.58452,0.0096502,0.0096502,0.0096502
55,866.335,1.30339,0.93356,1.3758,0.82385,0.64968,0.75093,0.40148,1.55284,1.15864,1.58998,0.0096436,0.0096436,0.0096436
56,881.35,1.28088,0.91352,1.35821,0.81437,0.65919,0.74983,0.41206,1.55673,1.14624,1.58948,0.009637,0.009637,0.009637
57,897.831,1.2855,0.90023,1.33275,0.80711,0.66137,0.75565,0.41015,1.5643,1.17459,1.57869,0.0096304,0.0096304,0.0096304
58,913.639,1.30822,0.92252,1.36007,0.80708,0.65802,0.74423,0.41209,1.52053,1.12221,1.55236,0.0096238,0.0096238,0.0096238
59,927.729,1.27266,0.89009,1.33416,0.81562,0.66167,0.75442,0.40171,1.59037,1.15342,1.5851,0.0096172,0.0096172,0.0096172
60,943.281,1.30509,0.91938,1.35611,0.82818,0.67837,0.76791,0.4248,1.51366,1.1411,1.53901,0.0096106,0.0096106,0.0096106
61,959.615,1.26752,0.89994,1.34239,0.8155,0.67194,0.76058,0.41008,1.56615,1.12603,1.57201,0.009604,0.009604,0.009604
