epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.1021,4.36914,4.2077,4.22614,0.00102,0.01795,0.00053,0.00019,3.6409,3.36943,3.46119,0.0014,0.0014,0.0014
2,20.6042,3.97446,4.07442,4.08212,0.0012,0.01903,0.00067,0.00024,3.64004,3.3167,3.4552,0.00289809,0.00289809,0.00289809
3,25.887,3.68679,3.77643,3.69019,0.0012,0.01903,0.00062,0.00022,3.66861,3.2627,3.49852,0.00439419,0.00439419,0.00439419
4,31.0802,3.41031,3.44166,3.30423,0.0012,0.01903,0.00064,0.00022,3.71054,3.27313,3.57648,0.00588832,0.00588832,0.00588832
5,36.4496,3.18659,3.25859,3.03244,0.00113,0.01896,0.00144,0.0004,3.73264,3.33181,3.62507,0.00738046,0.00738046,0.00738046
6,41.7424,3.0171,2.98851,2.8107,0.00118,0.01874,0.00233,0.00059,3.33631,3.34084,3.26308,0.00887063,0.00887063,0.00887063
7,47.4587,2.89021,2.72738,2.65803,0.01375,0.2454,0.04965,0.01678,2.75108,2.88623,2.63021,0.0099604,0.0099604,0.0099604
8,53.0151,2.71572,2.53975,2.53317,0.2017,0.1313,0.08987,0.02736,2.54701,2.57623,2.5108,0.0099538,0.0099538,0.0099538
9,58.6768,2.56928,2.33959,2.37015,0.19654,0.14531,0.11512,0.04042,2.52768,2.81874,2.64043,0.0099472,0.0099472,0.0099472
10,64.182,2.46115,2.26366,2.31562,0.27206,0.20351,0.1519,0.04443,2.41301,2.71102,2.43634,0.0099406,0.0099406,0.0099406
11,69.9786,2.36289,2.1372,2.22721,0.35867,0.20185,0.1745,0.06282,2.26611,3.52622,2.2479,0.009934,0.009934,0.009934
12,75.5948,2.28011,2.04289,2.17545,0.35001,0.24223,0.21069,0.07122,2.20434,2.77771,2.14534,0.0099274,0.0099274,0.0099274
13,81.0266,2.20054,1.99172,2.13027,0.36158,0.25365,0.22498,0.08383,2.16297,2.27809,2.16221,0.0099208,0.0099208,0.0099208
14,86.6457,2.18103,1.96249,2.08534,0.41288,0.32298,0.29624,0.10815,2.03709,1.96588,1.98445,0.0099142,0.0099142,0.0099142
15,92.1164,2.12662,1.91193,2.05617,0.42738,0.33096,0.30549,0.11616,1.97502,2.05951,1.87387,0.0099076,0.0099076,0.0099076
16,97.6119,2.07021,1.8112,1.9965,0.39621,0.35434,0.32209,0.11875,1.93575,1.91188,1.85466,0.009901,0.009901,0.009901
17,103.153,2.08248,1.85117,2.00511,0.38011,0.29737,0.26167,0.086,2.07047,2.22023,1.97666,0.0098944,0.0098944,0.0098944
18,108.534,2.06953,1.83386,1.98881,0.39539,0.32581,0.31096,0.11944,1.93226,1.80762,1.81637,0.0098878,0.0098878,0.0098878
19,113.959,2.01915,1.7678,1.95654,0.41024,0.34692,0.3178,0.12207,1.90816,1.8978,1.79725,0.0098812,0.0098812,0.0098812
20,119.319,2.00022,1.72481,1.91886,0.47034,0.3465,0.3465,0.13711,1.88876,1.80689,1.80583,0.0098746,0.0098746,0.0098746
21,124.796,1.99367,1.74452,1.93345,0.4846,0.37784,0.37228,0.15251,1.85755,1.69947,1.77989,0.009868,0.009868,0.009868
22,130.264,1.97787,1.72686,1.89914,0.41801,0.4006,0.38478,0.1523,1.82162,1.67957,1.73352,0.0098614,0.0098614,0.0098614
23,135.537,1.93545,1.68716,1.86739,0.50726,0.3592,0.37781,0.15231,1.86098,1.83153,1.80577,0.0098548,0.0098548,0.0098548
24,140.78,1.92361,1.66282,1.85445,0.46894,0.41339,0.40506,0.16707,1.83336,1.61067,1.77263,0.0098482,0.0098482,0.0098482
25,146.224,1.91527,1.65485,1.84069,0.51543,0.40121,0.40502,0.16489,1.8124,1.65492,1.72803,0.0098416,0.0098416,0.0098416
