epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.4003,4.3596,3.67276,3.95207,0.00094,0.01903,0.0005,0.00018,4.5479,3.64564,4.2245,0.00328767,0.00328767,0.00328767
2,31.9875,3.4311,2.84912,2.94078,0.18263,0.14972,0.0588,0.01375,3.32946,3.42981,3.00736,0.00661663,0.00661663,0.00661663
3,41.5049,2.84836,2.24514,2.30358,0.25263,0.24039,0.15386,0.04299,2.95653,2.38343,2.50762,0.0099412,0.0099412,0.0099412
4,50.7373,2.54297,2.01852,2.07148,0.30271,0.26425,0.19533,0.06013,2.7564,2.38603,2.26493,0.0099802,0.0099802,0.0099802
5,59.9594,2.33331,1.8175,1.89359,0.34185,0.31839,0.2568,0.08425,2.62548,2.07048,2.16973,0.0099736,0.0099736,0.0099736
6,69.3166,2.20194,1.70458,1.80253,0.412,0.34313,0.2869,0.09615,2.54164,2.02973,2.0941,0.009967,0.009967,0.009967
7,78.5162,2.1213,1.62737,1.74122,0.3636,0.36964,0.28381,0.09789,2.34835,1.9263,1.93723,0.0099604,0.0099604,0.0099604
8,87.8681,2.03715,1.55309,1.67777,0.44196,0.38623,0.3659,0.13437,2.28571,1.91014,1.89152,0.0099538,0.0099538,0.0099538
9,97.1218,1.98313,1.50391,1.65563,0.47522,0.42759,0.40078,0.14893,2.27297,1.70461,1.87758,0.0099472,0.0099472,0.0099472
10,106.368,1.94496,1.48095,1.6299,0.51447,0.42111,0.41627,0.16622,2.16721,1.72009,1.8118,0.0099406,0.0099406,0.0099406
11,115.666,1.88654,1.42369,1.58446,0.52955,0.46301,0.46382,0.18823,2.12818,1.60307,1.78106,0.009934,0.009934,0.009934
12,124.966,1.85176,1.38993,1.56784,0.51769,0.47175,0.46461,0.18519,2.12538,1.74534,1.79345,0.0099274,0.0099274,0.0099274
13,134.288,1.80918,1.34758,1.52689,0.5735,0.48359,0.49421,0.20503,2.05716,1.5434,1.71886,0.0099208,0.0099208,0.0099208
